District,Number of Agricultural Households,Households reportedMachinery/Pens/Storage (%)
COLOMBO,32484,33
GAMPAHA,101181,25
KALUTARA,90770,16
KANDY,126683,22
MATALE,73093,47
NUWARA ELIYA,81522,29
GALLE,123122,16
MATARA,105308,12
HAMBANTOTA,99693,35
JAFFNA,40853,73
MANNAR,7663,75
VAVUNIYA,24035,52
MULLAITIVU,20851,32
KILINOCHCHI,19792,69
BATTICALOA,32022,58
AMPARA,60216,37
TRINCOMALEE,29757,36
KURUNEGALA,269416,42
PUTTALAM,83989,44
ANURADHAPURA,170323,55
POLONNARUWA,73275,55
BADULLA,118932,47
MONERAGALA,95718,17
RATNAPURA,156055,20
KEGALLE,99798,10
