District,Number_of_AgriculturalHouseholds,Fertilizer_Inorganic,Fertilizer_Organic,Insecticides,Weedicides,Fungicides,Total
Colombo,32484,42.9,27.2,7.6,10.9,1.8,70.1
Gampaha,101181,22.2,10.7,4,3.7,0.6,32.9
Kalutara,90770,67.3,8.6,2.4,7.4,0.6,75.9
Kandy,126683,29.8,18.4,9.8,1.4,4.2,48.2
Matale,73093,42.6,11.4,35.3,12.2,19,54
Nuwara Eliya,81522,80,49.4,43,23.4,51.8,129.4
Galle,123122,71.2,5.2,1.2,5.4,0.6,76.4
Matara,105308,70.5,8.2,8.9,13,4.5,78.7
Hambantota,99693,46.6,14.6,30.6,32.2,12.7,61.2
Jaffna,40853,32.3,39.4,26.7,19.7,11.6,71.7
Mannar,7663,2.1,10.2,4.2,0.8,0,12.3
Vavuniya,24035,27.5,27.7,24.4,7.9,2.3,55.2
Mullaitivu,20851,52.3,14.6,46,18.2,0.6,66.9
Kilinochchi,19792,43.2,23.1,41.6,18.4,15.2,66.3
Batticaloa,32022,58.7,24.4,51.7,35.5,22.2,83.1
Ampara,60216,66.5,16.9,59.9,49.1,30.3,83.4
Trincomalee,29757,38,16.1,34.7,24.5,12.2,54.1
Kurunegala,269415,27.1,13.4,18.6,14,2.4,40.5
Puttalam,83989,16.6,10.9,7.3,2.4,2.2,27.5
Anuradhapura,170323,23.7,8.6,21.4,12.8,7.6,32.3
Polonnaruwa,73275,61,17.1,37.9,55.1,7.2,78.1
Badulla,118932,51.4,27.9,37.5,8.5,27.4,79.3
Moneragala,95718,28.8,3.1,12.2,19.8,4.8,31.9
Ratnapura,155901,60.7,22.3,6.8,11.1,2,83
Kegalle,99798,43.6,8.7,10.7,6.9,1.4,52.3
,,,,,,,
